City_ID,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,0,sodankyla,67.4167,26.6,8.45,74,32,3.06,FI,1696167494
1,1,sambava,-14.2667,50.1667,25.24,74,51,3.51,MG,1696167495
2,2,grytviken,-54.2811,-36.5092,4.63,84,57,4.14,GS,1696167495
3,3,kurchatov,51.6601,35.6521,22.23,36,53,4.94,RU,1696167431
4,4,balaklava,44.5,33.6,21.66,51,97,3.19,UA,1696167495
5,5,lospalos,-8.5186,127.0025,21.3,95,24,1.84,TL,1696167495
6,6,fortuna,40.5982,-124.1573,8.51,97,100,0.0,US,1696167496
7,7,kavieng,-2.5744,150.7967,27.05,83,97,2.64,PG,1696167496
8,8,atafu village,-8.5421,-172.5159,28.35,69,96,0.84,TK,1696167496
9,9,blackmans bay,-43.0167,147.3167,7.51,77,9,2.73,AU,1696167496
10,10,afaahiti,-17.75,-149.2833,22.93,85,39,8.96,PF,1696167497
11,11,columbus,39.9612,-82.9988,20.8,89,0,1.54,US,1696167374
12,12,hasaki,35.7333,140.8333,22.94,83,100,5.8,JP,1696167497
13,13,lazaro cardenas,17.9583,-102.2,27.67,84,100,1.6,MX,1696167497
14,14,singa,13.15,33.9333,35.49,34,82,1.88,SD,1696167497
15,15,ilulissat,69.2167,-51.1,-0.99,64,0,2.06,GL,1696167498
16,16,bethel,41.3712,-73.414,17.9,92,0,0.45,US,1696167498
17,17,east london,-33.0153,27.9116,18.52,68,0,4.12,ZA,1696167498
18,18,albany,42.6001,-73.9662,16.23,95,0,0.89,US,1696167498
19,19,hermanus,-34.4187,19.2345,19.14,52,0,5.32,ZA,1696167498
20,20,puerto natales,-51.7236,-72.4875,2.25,87,75,8.23,CL,1696167361
21,21,tsiombe,-25.3,45.4833,28.24,38,1,4.98,MG,1696167499
22,22,thunder bay,48.4001,-89.3168,15.99,100,100,4.12,CA,1696167498
23,23,ushuaia,-54.8,-68.3,2.81,75,75,4.63,AR,1696167499
24,24,alofi,-19.0595,-169.9187,21.94,68,100,5.66,NU,1696167500
25,25,ceeldheer,3.8488,47.1806,27.86,70,1,7.78,SO,1696167500
26,26,lae,-6.7221,146.9847,24.54,91,55,1.05,PG,1696167500
27,27,susuman,62.7833,148.1667,-1.12,73,13,1.79,RU,1696167500
28,28,tiksi,71.6872,128.8694,-7.04,90,55,3.24,RU,1696167501
29,29,bandrele,-12.9067,45.1914,28.86,65,0,2.57,YT,1696167501
30,30,bredasdorp,-34.5322,20.0403,17.26,57,0,7.38,ZA,1696167501
31,31,qaqortoq,60.7167,-46.0333,3.19,76,99,2.71,GL,1696167501
32,32,nemuro,43.3236,145.575,16.55,92,100,2.97,JP,1696167502
33,33,waitangi,-43.9535,-176.5597,11.57,85,58,4.02,NZ,1696167502
34,34,port lincoln,-34.7333,135.8667,12.41,79,0,1.83,AU,1696167502
35,35,port elizabeth,-33.918,25.5701,19.16,61,75,3.13,ZA,1696167502
36,36,arkalyk,50.2486,66.9114,14.51,47,100,3.57,KZ,1696167503
37,37,olonkinbyen,70.9221,-8.7187,0.56,70,100,4.07,SJ,1696167503
38,38,port moresby,-9.4431,147.1797,25.68,83,20,8.75,PG,1696167503
39,39,isafjordur,66.0755,-23.124,8.02,76,75,5.66,IS,1696167503
40,40,yellowknife,62.456,-114.3525,7.45,96,75,4.63,CA,1696167314
41,41,edinburgh of the seven seas,-37.0676,-12.3116,9.72,59,100,12.04,SH,1696167504
42,42,grand gaube,-20.0064,57.6608,26.22,68,38,3.13,MU,1696167504
43,43,udachny,66.4167,112.4,-0.86,100,100,6.96,RU,1696167504
44,44,qamdo,31.1667,97.2333,7.56,52,10,1.48,CN,1696167504
45,45,camacupa,-12.0167,17.4833,19.36,71,100,5.28,AO,1696167505
46,46,papatowai,-46.5619,169.4708,14.04,61,99,5.01,NZ,1696167505
47,47,kayes,14.0,-11.0,34.0,49,70,1.18,ML,1696167505
48,48,fort bragg,35.139,-79.006,21.57,88,0,2.57,US,1696167505
49,49,selkirk,50.1436,-96.8845,17.31,91,100,3.28,CA,1696167505
50,50,severo-yeniseyskiy,60.3725,93.0408,-1.35,68,83,5.81,RU,1696167506
51,51,prince rupert,54.3161,-130.3201,9.83,91,100,13.38,CA,1696167506
52,52,horsham,51.064,-0.3272,23.23,71,40,4.63,GB,1696167506
53,53,davidsonville,-26.1547,27.8503,28.86,22,0,3.09,ZA,1696167506
54,54,bonthe,7.5264,-12.505,29.14,74,100,3.95,SL,1696167506
55,55,haiku-pauwela,20.9219,-156.3051,25.58,77,0,2.57,US,1696167507
56,56,lompoc,34.6391,-120.4579,12.55,87,100,1.54,US,1696167507
57,57,vorgashor,67.5833,63.95,7.08,98,100,5.2,RU,1696167507
58,58,jamestown,42.097,-79.2353,16.97,100,100,0.0,US,1696167381
59,59,labuan,5.2767,115.2417,28.2,74,20,1.54,MY,1696167507
60,60,opuwo,-18.0607,13.84,36.61,6,0,3.95,,1696167508
61,61,pitkyaranta,61.5734,31.4792,10.84,89,100,8.28,RU,1696167508
62,62,gadzhiyevo,69.2551,33.3362,6.29,76,93,5.59,RU,1696167508
63,63,berezovyy,51.6667,135.7,7.46,96,100,2.45,RU,1696167508
64,64,colonia,50.9333,6.95,27.25,54,0,2.57,DE,1696167509
65,65,port-aux-francais,-49.35,70.2167,5.8,97,100,15.94,TF,1696167509
66,66,sitka,57.0531,-135.33,12.94,71,100,5.66,US,1696167509
67,67,khandyga,62.6667,135.6,2.94,70,97,0.92,RU,1696167509
68,68,thompson,55.7435,-97.8558,4.09,87,100,2.57,CA,1696167510
69,69,menaka,15.9182,2.4022,39.48,22,10,4.57,ML,1696167510
70,70,vadso,70.0744,29.7487,8.09,76,100,2.06,NO,1696167510
71,71,belabo,4.9333,13.3,26.58,87,98,0.47,CM,1696167511
72,72,keflavik,64.0049,-22.5624,11.95,76,0,5.14,IS,1696167511
73,73,garissa,-0.4536,39.6401,34.41,30,32,7.34,KE,1696167460
74,74,gamay,12.3854,125.2979,27.16,85,100,4.03,PH,1696167511
75,75,yesan,36.6776,126.8427,16.83,74,3,1.19,KR,1696167511
76,76,stanley,54.868,-1.6985,19.88,75,20,3.6,GB,1696167512
77,77,flying fish cove,-10.4217,105.6791,23.82,88,40,4.63,CX,1696167512
78,78,chibougamau,49.9168,-74.3659,13.72,68,6,1.59,CA,1696167512
79,79,touros,-5.1989,-35.4608,29.64,53,55,7.53,BR,1696167284
80,80,petropavlovsk-kamchatsky,53.0452,158.6483,6.36,91,100,2.0,RU,1696167512
81,81,adamstown,-25.066,-130.1015,20.52,82,43,10.65,PN,1696167513
82,82,ust-nera,64.5667,143.2,-1.9,61,44,3.22,RU,1696167513
83,83,kapuskasing,49.4169,-82.4331,10.05,100,100,2.06,CA,1696167513
84,84,antsiranana,-12.2787,49.2917,30.42,48,20,3.09,MG,1696167513
85,85,champerico,14.3,-91.9167,26.3,79,17,2.8,GT,1696167514
86,86,tindouf,27.6711,-8.1474,35.85,11,88,9.59,DZ,1696167514
87,87,lihue,21.9789,-159.3672,24.77,84,20,5.66,US,1696167388
88,88,port mathurin,-19.6833,63.4167,22.79,83,83,9.06,MU,1696167514
